Designator,Mid X,Mid Y,Layer,Rotation
R206,162.0000,-54.3000,bottom,90.00
R207,126.6000,-58.7000,bottom,0.00
R208,113.4000,-58.7000,bottom,0.00
R21,109.2200,-70.6750,bottom,90.00
R22,128.2700,-70.6750,bottom,90.00
R23,147.3200,-70.6750,bottom,90.00
R24,166.3700,-70.6750,bottom,90.00
R25,185.4200,-70.6750,bottom,90.00
R26,204.4700,-70.6750,bottom,90.00
R27,223.5200,-70.6750,bottom,90.00
R28,242.5700,-70.6750,bottom,90.00
R29,261.6200,-70.6750,bottom,90.00
R3,90.1700,-42.1000,bottom,90.00
R30,290.1950,-70.6750,bottom,90.00
R31,323.5325,-70.6750,bottom,90.00
R32,342.5825,-70.6750,bottom,90.00
R33,361.6325,-70.6750,bottom,90.00
R34,385.4450,-70.6750,bottom,90.00
R35,404.4950,-70.6750,bottom,90.00
R36,423.5450,-70.6750,bottom,90.00
R37,442.5950,-70.6750,bottom,90.00
R38,37.7825,-89.7250,bottom,90.00
R39,61.5950,-89.7250,bottom,90.00
R4,109.2200,-42.1000,bottom,90.00
R40,80.6450,-89.7250,bottom,90.00
R41,99.6950,-89.7250,bottom,90.00
R42,118.7450,-89.7250,bottom,90.00
R43,137.7950,-89.7250,bottom,90.00
R44,156.8450,-89.7250,bottom,90.00
R45,175.8950,-89.7250,bottom,90.00
R46,194.9450,-89.7250,bottom,90.00
R47,213.9950,-89.7250,bottom,90.00
R48,233.0450,-89.7250,bottom,90.00
R49,252.0950,-89.7250,bottom,90.00
R5,128.2700,-42.1000,bottom,90.00
R50,271.1450,-89.7250,bottom,90.00
R51,323.5325,-89.7250,bottom,90.00
R52,342.5825,-89.7250,bottom,90.00
R53,361.6325,-89.7250,bottom,90.00
R54,385.4450,-89.7250,bottom,90.00
R55,404.4950,-89.7250,bottom,90.00
R56,423.5450,-89.7250,bottom,90.00
R57,442.5950,-99.2500,bottom,90.00
R58,40.1638,-108.7750,bottom,90.00
R59,66.3575,-108.7750,bottom,90.00
R6,156.8450,-42.1000,bottom,90.00
R60,85.4075,-108.7750,bottom,90.00
R61,104.4575,-108.7750,bottom,90.00
R62,123.5075,-108.7750,bottom,90.00
